                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5517,                 1.5249,                 1.2403,                0.63738,                0.55666,                0.60495,                0.35601,                 1.6591,                 1.5701,                 1.4796,             0.00041199,             0.00041199,             0.00041199
                      1,                 1.4952,                 1.0552,                  1.203,                0.53842,                0.51938,                0.49701,                0.29952,                 1.5854,                 1.6187,                 1.4808,             0.00080131,             0.00080131,             0.00080131
                      2,                 1.5099,                  1.032,                 1.2108,                0.58801,                0.59821,                0.58908,                0.36226,                 1.5224,                 1.6194,                 1.4551,              0.0011631,              0.0011631,              0.0011631
                      3,                 1.4876,                0.95725,                 1.2031,                0.63783,                0.60993,                0.61388,                0.36497,                 1.7099,                 1.3749,                  1.544,              0.0011263,              0.0011263,              0.0011263
                      4,                 1.4777,                0.93329,                 1.2017,                0.73838,                0.60551,                0.66163,                0.40581,                 1.4895,                 1.1668,                 1.4141,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.4498,                0.91929,                 1.1851,                0.78514,                0.58091,                0.70495,                0.43672,                 1.5214,                 1.1795,                 1.4252,               0.001085,               0.001085,               0.001085
                      6,                 1.4255,                0.86455,                 1.1784,                0.76842,                0.69624,                0.75835,                0.46767,                 1.4529,                0.95495,                 1.3911,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.4233,                0.85481,                 1.1744,                 0.7462,                  0.708,                0.78515,                0.50597,                 1.4199,                0.93741,                 1.3406,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.4089,                0.80538,                 1.1569,                0.76726,                0.66727,                0.75891,                0.48966,                 1.4137,                 1.0522,                 1.3534,             0.00096125,             0.00096125,             0.00096125
                      9,                 1.4125,                0.79582,                 1.1511,                0.75356,                0.68081,                0.76513,                0.50229,                 1.4448,                0.95212,                 1.3679,                0.00092,                0.00092,                0.00092
                     10,                  1.398,                0.78568,                 1.1616,                0.78762,                0.71819,                0.81865,                0.52672,                  1.404,                0.88932,                 1.3386,             0.00087875,             0.00087875,             0.00087875
                     11,                 1.3527,                0.77178,                 1.1449,                0.77629,                0.73879,                0.79378,                0.51531,                 1.4517,                0.90821,                 1.3786,              0.0008375,              0.0008375,              0.0008375
                     12,                 1.3576,                0.76279,                 1.1437,                0.80887,                0.73696,                0.82805,                0.52942,                 1.4259,                0.83156,                 1.3672,             0.00079625,             0.00079625,             0.00079625
                     13,                 1.3561,                0.71186,                 1.1328,                0.84336,                0.71359,                0.81666,                0.53885,                 1.3785,                0.89882,                 1.3145,               0.000755,               0.000755,               0.000755
                     14,                 1.3444,                0.72625,                 1.1415,                0.79113,                0.75281,                0.82711,                0.53702,                 1.4333,                0.81954,                 1.3675,             0.00071375,             0.00071375,             0.00071375
                     15,                 1.3373,                0.69526,                 1.1268,                0.81998,                0.71571,                 0.8134,                0.52885,                 1.4686,                0.86026,                 1.3631,              0.0006725,              0.0006725,              0.0006725
                     16,                 1.3362,                0.69731,                 1.1121,                0.83143,                0.77901,                0.86176,                0.56964,                 1.3597,                0.76151,                 1.3126,             0.00063125,             0.00063125,             0.00063125
                     17,                  1.302,                0.69168,                 1.1191,                 0.8154,                0.75551,                0.83646,                0.53807,                 1.4389,                 0.7859,                 1.3454,                0.00059,                0.00059,                0.00059
                     18,                 1.3109,                0.68175,                 1.1077,                0.83748,                0.75172,                0.84985,                0.56489,                 1.3987,                0.78734,                 1.3176,             0.00054875,             0.00054875,             0.00054875
                     19,                 1.3061,                0.68752,                  1.118,                 0.7555,                0.83621,                0.86368,                0.56604,                 1.4418,                0.76563,                 1.3499,              0.0005075,              0.0005075,              0.0005075
                     20,                 1.2838,                0.80207,                 1.1194,                0.86064,                0.77036,                0.86337,                0.57699,                 1.3711,                0.74907,                 1.3135,             0.00046625,             0.00046625,             0.00046625
                     21,                 1.2697,                0.62151,                 1.1272,                 0.8156,                0.79355,                0.84757,                0.55957,                 1.3709,                0.77657,                 1.3141,               0.000425,               0.000425,               0.000425
                     22,                 1.2596,                0.62764,                 1.1001,                0.83839,                0.74739,                0.84978,                0.56693,                  1.378,                0.77465,                 1.3098,             0.00038375,             0.00038375,             0.00038375
                     23,                  1.267,                0.63152,                 1.1392,                0.81267,                0.77456,                 0.8546,                0.57055,                 1.3947,                 0.7524,                  1.324,              0.0003425,              0.0003425,              0.0003425
                     24,                 1.2482,                0.59615,                 1.1094,                0.83188,                0.76897,                0.85733,                0.55814,                 1.4712,                0.75293,                 1.3792,             0.00030125,             0.00030125,             0.00030125
                     25,                 1.2195,                0.58787,                  1.104,                0.83938,                 0.7771,                0.86453,                0.58343,                 1.3806,                0.73205,                 1.3218,                0.00026,                0.00026,                0.00026
                     26,                 1.2126,                0.56447,                 1.0985,                0.85929,                0.79453,                0.87751,                0.58946,                  1.393,                0.70909,                 1.3248,             0.00021875,             0.00021875,             0.00021875
                     27,                 1.2102,                0.55327,                 1.0793,                0.84958,                0.79306,                0.87988,                0.59658,                 1.3604,                 0.7015,                  1.308,              0.0001775,              0.0001775,              0.0001775
                     28,                 1.1884,                0.54152,                 1.0721,                0.87618,                0.77969,                0.87951,                0.59962,                 1.3599,                0.69153,                 1.3088,             0.00013625,             0.00013625,             0.00013625
                     29,                 1.1676,                0.52745,                 1.0756,                0.87439,                0.78603,                0.88101,                0.59311,                 1.3855,                0.70767,                 1.3229,                9.5e-05,                9.5e-05,                9.5e-05
