                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6952,                 2.3352,                 1.2168,                0.55065,                0.35278,                0.38031,                0.23872,                  1.518,                 2.3859,                 1.1916,             0.00041199,             0.00041199,             0.00041199
                      1,                 1.5833,                 1.3718,                 1.1312,                0.51287,                0.53284,                0.49462,                0.29653,                 1.5953,                 1.8892,                 1.2565,             0.00080131,             0.00080131,             0.00080131
                      2,                 1.5748,                 1.2818,                 1.1339,                0.68195,                0.61197,                0.65398,                 0.4053,                 1.5107,                 1.5032,                 1.1949,              0.0011631,              0.0011631,              0.0011631
                      3,                 1.5317,                 1.1448,                 1.1175,                0.70726,                0.64686,                0.69951,                0.43165,                 1.5291,                 1.2514,                 1.2277,              0.0011263,              0.0011263,              0.0011263
                      4,                 1.5266,                 1.1349,                 1.1219,                0.76134,                0.64664,                 0.7271,                0.46962,                 1.4885,                 1.5653,                  1.193,              0.0011263,              0.0011263,              0.0011263
                      5,                  1.511,                 1.0785,                 1.1178,                0.68498,                0.67724,                0.70979,                0.42001,                 1.5551,                 1.3084,                 1.2587,               0.001085,               0.001085,               0.001085
                      6,                 1.4814,                 1.0206,                  1.109,                0.79579,                0.66637,                0.74832,                0.48215,                  1.458,                 1.1643,                 1.2107,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.4772,                0.98956,                 1.1067,                 0.7652,                0.73961,                0.80139,                 0.5095,                 1.4764,                 1.0805,                 1.1958,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.4728,                0.96055,                 1.1033,                0.72703,                0.67604,                0.75013,                0.48814,                 1.4759,                 1.1622,                 1.1939,             0.00096125,             0.00096125,             0.00096125
                      9,                 1.4719,                0.93623,                 1.0947,                0.78427,                0.68744,                0.78636,                0.51068,                 1.4244,                 1.0367,                 1.1887,                0.00092,                0.00092,                0.00092
                     10,                 1.4568,                0.92652,                 1.1014,                0.79316,                0.67771,                0.80255,                0.50056,                 1.4641,                 1.0237,                 1.2154,             0.00087875,             0.00087875,             0.00087875
                     11,                 1.4259,                0.91906,                 1.0912,                0.77578,                0.69539,                0.77926,                0.50676,                 1.4642,                 1.0042,                 1.1964,              0.0008375,              0.0008375,              0.0008375
                     12,                 1.4392,                0.90687,                 1.0927,                0.78135,                0.76066,                0.82455,                0.51887,                 1.4811,                0.95359,                 1.2083,             0.00079625,             0.00079625,             0.00079625
                     13,                 1.4283,                0.86301,                 1.0828,                0.82316,                0.73456,                0.82615,                0.54474,                 1.3954,                0.91367,                 1.1654,               0.000755,               0.000755,               0.000755
                     14,                 1.4191,                0.85486,                 1.0898,                0.79008,                0.76008,                0.82934,                0.51905,                 1.5478,                0.97133,                 1.2351,             0.00071375,             0.00071375,             0.00071375
                     15,                 1.4237,                0.83755,                 1.0842,                0.80413,                0.71109,                0.80387,                 0.5242,                 1.4635,                0.94389,                 1.1918,              0.0006725,              0.0006725,              0.0006725
                     16,                 1.4158,                0.83502,                 1.0688,                0.82872,                0.77213,                0.84919,                0.56172,                 1.3693,                0.87486,                 1.1574,             0.00063125,             0.00063125,             0.00063125
                     17,                 1.3882,                0.83802,                 1.0833,                0.81696,                0.76534,                0.84557,                0.54312,                 1.4498,                0.91025,                 1.1933,                0.00059,                0.00059,                0.00059
                     18,                 1.3941,                0.81576,                 1.0708,                0.81837,                0.74435,                0.84562,                0.55214,                 1.4745,                0.89784,                 1.1863,             0.00054875,             0.00054875,             0.00054875
                     19,                 1.3932,                0.82427,                 1.0789,                0.80973,                0.73227,                0.82562,                0.54959,                 1.4024,                0.91382,                 1.1714,              0.0005075,              0.0005075,              0.0005075
                     20,                 1.3649,                 1.0629,                 1.0621,                0.82336,                0.73044,                0.83612,                0.54776,                  1.471,                0.92061,                 1.2007,             0.00046625,             0.00046625,             0.00046625
                     21,                 1.3515,                0.76022,                 1.0624,                0.82674,                0.72343,                0.82198,                0.54018,                 1.4124,                0.89559,                 1.1776,               0.000425,               0.000425,               0.000425
                     22,                   1.35,                0.75775,                  1.055,                 0.8092,                0.75209,                0.83966,                0.54413,                 1.4665,                0.87823,                 1.2147,             0.00038375,             0.00038375,             0.00038375
                     23,                 1.3635,                0.76996,                 1.0828,                0.81018,                 0.7576,                  0.841,                0.54946,                 1.4871,                0.88253,                  1.213,              0.0003425,              0.0003425,              0.0003425
                     24,                 1.3469,                 0.7409,                  1.061,                0.82102,                0.77288,                0.85009,                0.56083,                 1.4161,                 0.8678,                 1.1806,             0.00030125,             0.00030125,             0.00030125
                     25,                 1.3136,                0.71753,                 1.0486,                0.81901,                0.78181,                0.85319,                0.57051,                 1.4188,                0.81951,                 1.1705,                0.00026,                0.00026,                0.00026
                     26,                 1.3259,                0.71233,                 1.0555,                0.83316,                0.77402,                 0.8584,                0.57222,                 1.4126,                0.82604,                 1.1691,             0.00021875,             0.00021875,             0.00021875
                     27,                 1.3217,                 0.6929,                 1.0415,                0.81533,                0.78831,                0.86119,                0.57594,                 1.3852,                0.81256,                 1.1606,              0.0001775,              0.0001775,              0.0001775
                     28,                 1.3069,                0.68885,                 1.0396,                0.85002,                0.77422,                  0.872,                0.58092,                 1.3939,                0.79968,                 1.1625,             0.00013625,             0.00013625,             0.00013625
                     29,                   1.29,                 0.6829,                 1.0375,                0.83966,                0.78738,                0.86515,                 0.5679,                 1.4427,                0.80646,                  1.188,                9.5e-05,                9.5e-05,                9.5e-05
