                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6229,                 1.7045,                 1.2883,                0.59272,                 0.5507,                0.55306,                0.33292,                 1.5007,                 2.0102,                 1.3624,             0.00041199,             0.00041199,             0.00041199
                      1,                 1.5144,                 1.0736,                 1.1846,                0.46669,                0.48956,                0.37486,                0.21461,                  1.641,                   1.85,                 1.4744,             0.00080131,             0.00080131,             0.00080131
                      2,                 1.5278,                 1.0681,                 1.1881,                0.52864,                0.54896,                0.55195,                 0.3433,                 1.5569,                 1.8596,                 1.3862,              0.0011631,              0.0011631,              0.0011631
                      3,                 1.4869,                0.95608,                 1.1618,                0.58716,                 0.6526,                0.62376,                0.35741,                 1.6285,                 1.2742,                 1.4201,              0.0011263,              0.0011263,              0.0011263
                      4,                 1.4695,                0.96121,                 1.1572,                0.74367,                 0.6432,                0.73428,                0.46518,                 1.4724,                 1.0806,                 1.3037,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.4614,                0.92116,                 1.1515,                0.73194,                0.65362,                0.74971,                0.46541,                 1.5447,                 1.1186,                  1.353,               0.001085,               0.001085,               0.001085
                      6,                 1.4405,                0.88559,                  1.144,                0.65998,                0.70287,                0.71702,                0.44966,                 1.4441,                 1.0576,                 1.2881,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.4416,                0.86333,                 1.1403,                0.83305,                0.65271,                0.77286,                0.48276,                 1.5714,                 1.0214,                 1.3481,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.4262,                0.83553,                 1.1267,                0.76681,                0.74291,                0.81041,                0.52164,                 1.4461,                0.96318,                 1.2779,             0.00096125,             0.00096125,             0.00096125
                      9,                 1.4112,                0.81262,                 1.1141,                0.70742,                0.69691,                0.72021,                0.47586,                 1.4245,                 1.0898,                 1.2728,                0.00092,                0.00092,                0.00092
                     10,                 1.4083,                 0.8107,                 1.1244,                0.80109,                0.71634,                0.80207,                0.51116,                 1.5733,                 1.0833,                 1.3593,             0.00087875,             0.00087875,             0.00087875
                     11,                 1.3711,                0.78781,                 1.1117,                0.84431,                0.67837,                0.80369,                0.52832,                 1.4294,                0.90681,                 1.2748,              0.0008375,              0.0008375,              0.0008375
                     12,                 1.3832,                0.78507,                 1.1052,                0.76889,                0.77925,                0.81138,                0.51672,                 1.4461,                0.94794,                 1.2781,             0.00079625,             0.00079625,             0.00079625
                     13,                 1.3727,                 0.7433,                 1.0974,                0.79853,                0.79027,                0.84089,                0.55024,                 1.3966,                0.80443,                 1.2493,               0.000755,               0.000755,               0.000755
                     14,                 1.3585,                0.75122,                 1.1053,                0.77259,                0.79713,                0.84821,                0.55196,                 1.4052,                0.82318,                 1.2618,             0.00071375,             0.00071375,             0.00071375
                     15,                 1.3589,                0.73023,                 1.0944,                0.80733,                0.74058,                0.82553,                0.53596,                   1.51,                0.86862,                 1.2967,              0.0006725,              0.0006725,              0.0006725
                     16,                 1.3537,                0.72872,                  1.078,                0.81292,                0.78681,                0.86623,                0.56026,                 1.3835,                0.81193,                 1.2421,             0.00063125,             0.00063125,             0.00063125
                     17,                 1.3221,                0.72396,                 1.0921,                0.82254,                0.77593,                0.85418,                0.55164,                 1.4574,                0.80968,                  1.281,                0.00059,                0.00059,                0.00059
                     18,                 1.3332,                0.69893,                 1.0806,                0.80588,                0.78019,                0.85555,                0.56158,                 1.4151,                0.79578,                 1.2413,             0.00054875,             0.00054875,             0.00054875
                     19,                 1.3243,                0.70155,                 1.0854,                0.83787,                0.77746,                0.86133,                0.56323,                 1.4185,                0.79187,                   1.26,              0.0005075,              0.0005075,              0.0005075
                     20,                 1.3032,                0.78309,                  1.079,                  0.804,                 0.7648,                0.84887,                0.55681,                  1.405,                0.81763,                 1.2473,             0.00046625,             0.00046625,             0.00046625
                     21,                 1.2862,                0.66373,                 1.0821,                0.83309,                0.79544,                 0.8683,                0.56427,                 1.3943,                0.76921,                 1.2505,               0.000425,               0.000425,               0.000425
                     22,                 1.2804,                0.64547,                 1.0624,                0.78714,                0.77943,                0.84003,                0.54265,                 1.4273,                0.79057,                 1.2684,             0.00038375,             0.00038375,             0.00038375
                     23,                 1.2881,                0.67437,                 1.0879,                0.82884,                0.74475,                0.85345,                0.56147,                 1.4477,                0.78343,                 1.2705,              0.0003425,              0.0003425,              0.0003425
                     24,                 1.2739,                0.62238,                 1.0663,                0.78419,                0.81973,                0.85902,                0.55493,                 1.4837,                0.79711,                 1.2851,             0.00030125,             0.00030125,             0.00030125
                     25,                 1.2408,                0.60692,                 1.0569,                0.85187,                0.77265,                0.87767,                0.58488,                 1.3686,                0.74012,                 1.2288,                0.00026,                0.00026,                0.00026
                     26,                 1.2479,                0.60316,                 1.0625,                0.85634,                 0.7905,                0.88647,                0.58571,                 1.4061,                0.75202,                 1.2381,             0.00021875,             0.00021875,             0.00021875
                     27,                 1.2388,                0.58898,                 1.0446,                0.84268,                 0.8063,                0.87919,                0.58661,                 1.3944,                0.73602,                 1.2378,              0.0001775,              0.0001775,              0.0001775
                     28,                 1.2237,                0.57524,                 1.0397,                0.84334,                0.80015,                0.88269,                0.58928,                 1.3825,                0.72719,                 1.2401,             0.00013625,             0.00013625,             0.00013625
                     29,                 1.2011,                0.56647,                 1.0419,                0.83754,                 0.8202,                0.88217,                0.58159,                 1.4232,                0.72934,                 1.2631,                9.5e-05,                9.5e-05,                9.5e-05
